,Borough,Location,Latitude,Longitude,Neighbourhoods covered
74,Scarborough,Malvern,43.8091955,-79.2217008,Malvern
75,North York,Maple Leaf,43.7122767,-79.4901977,
76,Etobicoke,Markland Wood,43.63123865,-79.58543401986114,Markland Wood
77,Scarborough,Milliken,43.8231743,-79.3017626,Milliken
78,Etobicoke,Mimico,43.6166773,-79.4968048,Mimico
79,Scarborough,Morningside,43.7826012,-79.2049579,Morningside
80,Old City of Toronto,Moss Park,43.6546438,-79.3697278,"Moss Park, Corktown and Garden District"
81,York,Mount Dennis,43.6869597,-79.4895513,Mount Dennis
82,Etobicoke,Mount Olive-Silverstone-Jamestown,43.6869597,-79.4895513,Smithfield
83,Old City of Toronto,Mount Pleasant East,43.7084166,-79.3901348,"Davisville Village, North Toronto"
84,Old City of Toronto,Mount Pleasant West,43.7084166,-79.3901348,"Davisville Village, North Toronto"
85,Etobicoke,New Toronto,43.6007625,-79.505264,New Toronto
86,North York,Newtonbrook East,43.795986,-79.4130896,Newtonbrook
87,North York,Newtonbrook West,43.795986,-79.4130896,Newtonbrook
88,Old City of Toronto,Niagara,43.6440753,-79.4086982,"Niagara, Liberty Village, Exhibition Place"
89,Old City of Toronto,North Riverdale,43.66064985,-79.34271760826113,Riverdale
90,Old City of Toronto,North St. James Town,43.66064985,-79.34271760826113,St. James Town
91,East York,O'Connor-Parkview,43.7023902,-79.3160976,"Parkview Hills, Topham Park"
92,Scarborough,Oakridge,43.6971738,-79.2748232,Oakridge
93,York,Oakwood Village,43.6827255,-79.4380548,Oakwood Village
94,East York,Old East York,43.699971000000005,-79.33251996261595,Old East York
95,Old City of Toronto,Palmerston-Little Italy,43.6600648,-79.4118056,Little Italy and Palmerston
96,North York,Parkwoods-Donalda,43.6600648,-79.4118056,Parkwoods
97,North York,Pelmo Park-Humberlea,43.6600648,-79.4118056,Humberlea
98,Old City of Toronto,Playter Estates-Danforth,43.6786661,-79.3555177,Playter Estates and Greektown
99,North York,Pleasant View,43.787048,-79.3337137,Pleasant View
100,Etobicoke,Princess-Rosethorn,43.787048,-79.3337137,"Princess Anne Manor, Thorncrest Village, and Princess Margaret"
101,Old City of Toronto,Regent Park,43.6607056,-79.3604569,"Regent Park, Trefann Court"
102,Etobicoke,Rexdale-Kipling,43.722114149999996,-79.57229244708017,Rexdale
103,York,Rockcliffe-Smythe,43.722114149999996,-79.57229244708017,"Harwood, Syme"
104,Old City of Toronto,Roncesvalles,43.6514426,-79.4510381,Roncesvalles
105,Old City of Toronto,Rosedale-Moore Park,43.6869541,-79.3812804,Rosedale and Moore Park
106,Scarborough,Rouge,43.8049304,-79.1658374,"West Rouge, Rouge Park"
107,Old City of Toronto,Runnymede-Bloor West Village,43.6517776,-79.4759227,Runnymede-Bloor West Village
108,North York,Rustic,43.71336615,-79.50450373904313,
109,Scarborough,Scarborough Village,43.7437422,-79.2116324,
110,Old City of Toronto,South Riverdale,43.66064985,-79.34271760826113,
111,Old City of Toronto,South Parkdale,43.6447523,-79.4482598,"Parkdale, South Parkdale"
112,North York,St. Andrew-Windfields,43.6447523,-79.4482598,York Mills and Hoggs Hollow
113,Scarborough,Steeles,43.8161778,-79.3145378,
114,Etobicoke,Stonegate-Queensway,43.62195,-79.5234993,"Humber Bay, Queensway"
115,Scarborough,Tam O'Shanter-Sullivan,43.7792808,-79.3036989,
116,Old City of Toronto,The Beaches,43.6710244,-79.296712,"The Beach/Beaches, Beaches North"
117,Etobicoke,Thistletown-Beaumond Heights,43.6710244,-79.296712,
118,East York,Thorncliffe Park,43.704553,-79.3454074,
119,Old City of Toronto,Trinity-Bellwoods,43.64756465,-79.41388090266673,
120,Old City of Toronto,University,43.663461999999996,-79.39775965337452,
121,North York,Victoria Village,43.732658,-79.3111892,
122,Old City of Toronto,Waterfront Communities-The Island,43.732658,-79.3111892,"Distillery District, Old Town, St. Lawrence"
123,Scarborough,West Hill,43.7689144,-79.1872905,
124,Etobicoke,West Humber-Clairville,43.7225629,-79.59703850234453,
125,North York,Westminster-Branson,43.7225629,-79.59703850234453,
126,York,Weston,43.7001608,-79.5162474,
127,Old City of Toronto,Weston-Pellam Park,43.7001608,-79.5162474,"Carlton, Davenport, St. Clair Gardens"
128,Scarborough,Wexford-Maryvale,43.7001608,-79.5162474,
129,North York,Willowdale East,43.7615095,-79.4109234,
130,North York,Willowdale West,43.7615095,-79.4109234,
131,Etobicoke,Willowridge-Martingrove-Richview,43.7615095,-79.4109234,
132,Scarborough,Woburn,43.7598243,-79.2252908,
133,Old City of Toronto,Woodbine Corridor,43.7598243,-79.2252908,
134,East York,Woodbine-Lumsden,43.7598243,-79.2252908,
135,Old City of Toronto,Wychwood,43.68217105,-79.423113155788,
136,Old City of Toronto,Yonge and Eglinton,43.7067479,-79.3983271,Chaplin Estates
137,Old City of Toronto,Yonge-St.Clair,43.6880777,-79.3943963721967,
138,North York,York University Heights,43.7587808,-79.5194336,
139,North York,Yorkdale-Glen Park,43.703434,-79.45291835752212,"Glen Park, Lawrence Heights"
